Qualitative examples:
     3. B076M2BFVF
     4. B06WGTVK8P
     5. B07KN36H83
     6. B06VXLGRRV
     7. B074TDM391
     8. B076LLCFRL
     9. B08KDFK6H6
    10. B06W9NFDV5

  Custom Loss (GPT-4o):
     1. B07GBWV33H
     2. B076LNBPG4
     3. B076M2BFVF
     4. B074TDM391
     5. B07TSJ623M
     6. B06WGTVK8P
     7. B07G48JSRH
     8. B08KDFK6H6
     9. B06VXLGRRV
    10. B08NX77TGT

  LLM-as-Embedder:
     1. B076LNBPG4
     2. B076M2BFVF
     3. B076LLCFRL
     4. B07GBWV33H
     5. B07HHXHMML
     6. B07MZVHY55
     7. B07JMVZ9CM
     8. B07BRR288H
     9. B08KDF84VZ
    10. B07GNZ7BT3

--------------------------------------------------------------------------------
User: AHTKADZAXYMUFMK75BQZ4GND6ZAA
  History items:
    - B083DJCNRC
    - B087BYQB4S

  Custom Loss (GPT-4o-mini):
     1. B083DJCNRC
     2. B087BYQB4S
     3. B071LC7WPQ
     4. B06W2PJ9F4
     5. B08M5GSHMJ
     6. B01CTO1IL4
     7. B08M42PNJ5
     8. B0873CFCLS
     9. B07W52KHSG
    10. B019SLB6FO

  Custom Loss (DeepSeek):
     1. B083DJCNRC
     2. B087BYQB4S
     3. B08M5GSHMJ
     4. B07N2NND6D
     5. B0916YR82V
     6. B08M42PNJ5
     7. B0873CFCLS
     8. B07F3KJF58
     9. B089W1JQPT
    10. B09NSFNJH6

  Custom Loss (GPT-4o):
     1. B087BYQB4S
     2. B083DJCNRC
     3. B08M5GSHMJ
     4. B0899QLJML
     5. B08XJKW7M5
     6. B019SLB6FO
     7. B082KWNQL6
     8. B07N2NND6D
     9. B07F3KJF58
    10. B0922LYVR1

  LLM-as-Embedder:
     1. B087BYQB4S
     2. B083DJCNRC
     3. B019SLB6FO
     4. B07MKJ2KKR
     5. B073F41LWL
     6. B0978X4KDP
     7. B07P8RS7VF
     8. B0899QLJML
     9. B07Q3F3F23
    10. B01822C1YU

--------------------------------------------------------------------------------
